Collection: area_imovel,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Campo (Mongo),Tipo de campo (Mongo),Tabela (Postgres),Campo (Postgres),Tipo de campo (Postgres),Funcão geradora (Postgres),,,,
_id,ObjectId,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,,,
idUnidadeFamiliar,string,S_UNIDADE_FAMILIAR,id_unidade_familiar,uuid,Não se aplica,,,,
idArea,string,S_AREA_IMOVEL,id_area_imovel,uuid,Não se aplica,,,,
area,string,S_AREA_IMOVEL,nr_area,numeric,Não se aplica,,,,
uf,string,S_AREA_IMOVEL,sg_uf,varchar,Não se aplica,,,,
longitude,string,S_AREA_IMOVEL,nr_longitude,numeric,Não se aplica,,,,
latitude,string,S_AREA_IMOVEL,nr_latitude,numeric,Não se aplica,,,,
ativo,boolean,S_AREA_IMOVEL,st_ativo,boolean,Não se aplica,,,,
imovelPrincipal,boolean,S_AREA_IMOVEL,st_imovel_principal,boolean,Não se aplica,,,,
dataCriacao,date,S_AREA_IMOVEL,dt_criacao,timestamp,Não se aplica,,,,
dataAtualizacao,date,S_AREA_IMOVEL,dt_atualizacao,timestamp,Não se aplica,,,,
incra,boolean,S_AREA_IMOVEL,st_incra,boolean,Não se aplica,,,,
codigoImovelIncra,string,S_AREA_IMOVEL,cd_imovel_incra,varchar,Não se aplica,,,,
dataExclusao,date,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,,,
excluido,boolean,Não se aplica,Não se aplica,Não se aplica,Não se aplica,,,,
,,,,,,,,,
,,,,,,,,,
responsavelArea,Object,S_AREA_PESSOA_UFPR,Não se aplica,Não se aplica,Não se aplica,,,,
id,string,S_AREA_PESSOA_UFPR,id_area_pessoa_ufpr,uuid,Não se aplica,,,,
,,,,,,,,,
responsavelArea.condicaoDominio,Object,S_CONDICAO_DOMINIO,Não se aplica,Não se aplica,Não se aplica,,,,
responsavelArea.condicaoDominio.id,integer,S_CONDICAO_DOMINIO,id_condicao_dominio,integer,Não se aplica,,,,
responsavelArea.condicaoDominio.descricao,string,S_CONDICAO_DOMINIO,ds_condicao_dominio,varchar,Não se aplica,,,,
,,,,,,,,,
responsavelArea.pessoaResponsavel,Object,S_UNIDADE_FAMILIAR_PESSOA,Não se aplica,Não se aplica,Não se aplica,,,,
id,string,S_UNIDADE_FAMILIAR_PESSOA,id_unidade_familiar_pessoa,uuid,Não se aplica,,,,
,,,,,,,,,
responsavelArea.pessoaResponsavel.pessoaFisica,Object,S_PESSOA_FISICA,Não se aplica,Não se aplica,Não se aplica,,,,
responsavelArea.pessoaResponsavel.pessoaFisica.id,string,S_PESSOA_FISICA,id_pessoa_fisica,uuid,Não se aplica,,,,
responsavelArea.pessoaResponsavel.pessoaFisica.nome,string,S_PESSOA_FISICA,nm_pessoa_fisica,varchar,Não se aplica,,,,
,,,,,,,,,LD
,,,,,,,,,
codigoMunicipio,Object,S_MUNICIPIO,Não se aplica,Não se aplica,Não se aplica,,,,
codigoMunicipio.codigoMunicipio,string,S_MUNICIPIO,cd_municipio,varchar,Não se aplica,,,,
codigoMunicipio.codigoUf,string,S_MUNICIPIO,cd_uf,varchar,Não se aplica,,,,
codigoMunicipio.siglaUf,string,S_MUNICIPIO,sg_uf,varchar,Não se aplica,,,,
codigoMunicipio.nome,string,S_MUNICIPIO,nm_municipio,varchar,Não se aplica,,,,
,,,,,,,,,
,,,,,,,,,
unidadeMedida,Object,S_TIPO_UNIDADE_MEDIDA,Não se aplica,Não se aplica,Não se aplica,,,,
unidadeMedida.id,integer,S_TIPO_UNIDADE_MEDIDA,id_tipo_unidade_medida,integer,Não se aplica,,,,
.unidadeMedida.nome,string,S_TIPO_UNIDADE_MEDIDA,ds_tipo_unidade_medida,varchar,Não se aplica,,,,
,,,,,,,,,
,,,,,,,,,
tipoArea,Object,S_TIPO_AREA,Não se aplica,Não se aplica,Não se aplica,,,,
tipoArea.id,integer,S_TIPO_AREA,id_tipo_area,integer,Não se aplica,,,,
tipoArea.descricao,string,S_TIPO_AREA,ds_tipo_area,varchar,Não se aplica,,,,
,,,,,,,,,
,,,,,,,,,
localizacao,Object,S_TIPO_LOCALIZACAO_AREA,Não se aplica,Não se aplica,Não se aplica,,,,
localizacao.id,integer,S_TIPO_LOCALIZACAO_AREA,id_tipo_localizacao_area,integer,Não se aplica,,,,
localizacao.descricao,string,S_TIPO_LOCALIZACAO_AREA,ds_tipo_localizacao_area,varchar,Não se aplica,,,,
